Village,Treatment,Site,Sci_name,Palatability,Weight,Scientific_name,Family,Life_form,General_terms,x,y,Functional_type,Functional_groups
APA7,ab,APA7ab,Lepidagathis cristata,Yes,73,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.02755862,78.37557542,Perennial herb,Forb
APA7,bgpnf,APA7bgpnf,Lepidagathis cristata,Yes,14,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.02114351,78.38002126,Perennial herb,Forb
APA7,bgrnf,APA7bgrnf,Lepidagathis cristata,Yes,175,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.02257643,78.38102775,Perennial herb,Forb
APA8,bgrnf,APA8bgrnf,Lepidagathis cristata,Yes,592,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.02132073,78.3810486,Perennial herb,Forb
APC10,ab,APC10ab,Lepidagathis cristata,Yes,145,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.86199189,78.43342618,Perennial herb,Forb
APC10,bgrnf,APC10bgrnf,Lepidagathis cristata,Yes,30,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.8647888,78.3988028,Perennial herb,Forb
APC11,ab,APC11ab,Lepidagathis cristata,Yes,20,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.8371911,78.4106671,Perennial herb,Forb
APC11,bgrnf,APC11bgrnf,Lepidagathis cristata,Yes,60,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.8387583,78.4107094,Perennial herb,Forb
APC12,ab,APC12ab,Lepidagathis cristata,Yes,37,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.8698363,78.4179308,Perennial herb,Forb
APC12,bgpnf,APC12bgpnf,Lepidagathis cristata,Yes,195,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.89265608,78.41413564,Perennial herb,Forb
APC12,bgrnf,APC12bgrnf,Lepidagathis cristata,Yes,535,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.8937946,78.4132926,Perennial herb,Forb
APC13,bgpnf,APC13bgpnf,Lepidagathis cristata,Yes,27,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.90649864,78.50191729,Perennial herb,Forb
APC13,bgrnf,APC13bgrnf,Lepidagathis cristata,Yes,21,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.90526646,78.50195839,Perennial herb,Forb
APC14,bgrnf,APC14bgrnf,Lepidagathis cristata,Yes,8,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.90507205,78.50428427,Perennial herb,Forb
APC1,ab,APC1ab,Lepidagathis cristata,Yes,171,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.85288068,78.44261171,Perennial herb,Forb
APC1,bgrnf,APC1bgrnf,Lepidagathis cristata,Yes,232,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.84873331,78.42895372,Perennial herb,Forb
APC2,bgpnf,APC2bgpnf,Lepidagathis cristata,Yes,9,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.85048708,78.44295442,Perennial herb,Forb
APC2,bgrnf,APC2bgrnf,Lepidagathis cristata,Yes,20,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.89582345,78.47713731,Perennial herb,Forb
APC4,ab,APC4ab,Lepidagathis cristata,Yes,92,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.8421781,78.4288606,Perennial herb,Forb
APC4,bgpnf,APC4bgpnf,Lepidagathis cristata,Yes,14,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.84584791,78.44843727,Perennial herb,Forb
APC4,bgrnf,APC4bgrnf,Lepidagathis cristata,Yes,93,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.8435626,78.4210518,Perennial herb,Forb
APC5,bgpnf,APC5bgpnf,Lepidagathis cristata,Yes,7,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.81476646,78.41896685,Perennial herb,Forb
APC5,bgrnf,APC5bgrnf,Lepidagathis cristata,Yes,535,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.80497605,78.41399812,Perennial herb,Forb
APC6,ab,APC6ab,Lepidagathis cristata,Yes,14,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.94070434,78.49388343,Perennial herb,Forb
APC6,bgrnf,APC6bgrnf,Lepidagathis cristata,Yes,16,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.94001826,78.49399366,Perennial herb,Forb
APC7,bgpnf,APC7bgpnf,Lepidagathis cristata,Yes,14,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.94232155,78.50763286,Perennial herb,Forb
APC7,bgrnf,APC7bgrnf,Lepidagathis cristata,Yes,28,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.93962978,78.49521943,Perennial herb,Forb
APC8,bgrnf,APC8bgrnf,Lepidagathis cristata,Yes,93,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.8733068,78.52803175,Perennial herb,Forb
APC9,bgrnf,APC9bgrnf,Lepidagathis cristata,Yes,27,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.87330434,78.52919306,Perennial herb,Forb
APA17,bgpnf,APA17bgpnf,Leucas aspera,No,80,Leucas aspera (Willd.) Link,Lamiaceae,Herb,Mint family,14.1182461,78.3338937,Annual herb,Forb
APA21,bgpnf,APA21bgpnf,Leucas aspera,No,107,Leucas aspera (Willd.) Link,Lamiaceae,Herb,Mint family,14.0091949,78.3198229,Annual herb,Forb
APA21,bgrnf,APA21bgrnf,Leucas aspera,No,14,Leucas aspera (Willd.) Link,Lamiaceae,Herb,Mint family,14.0087733,78.3203361,Annual herb,Forb
APC11,ab,APC11ab,Leucas aspera,No,6,Leucas aspera (Willd.) Link,Lamiaceae,Herb,Mint family,13.8371911,78.4106671,Annual herb,Forb
APC12,ab,APC12ab,Leucas aspera,No,27,Leucas aspera (Willd.) Link,Lamiaceae,Herb,Mint family,13.8698363,78.4179308,Annual herb,Forb
APC4,ab,APC4ab,Leucas aspera,No,10,Leucas aspera (Willd.) Link,Lamiaceae,Herb,Mint family,13.8421781,78.4288606,Annual herb,Forb
APC5,bgpnf,APC5bgpnf,Leucas aspera,No,10,Leucas aspera (Willd.) Link,Lamiaceae,Herb,Mint family,13.81476646,78.41896685,Annual herb,Forb
APC7,bgpnf,APC7bgpnf,Leucas aspera,No,11,Leucas aspera (Willd.) Link,Lamiaceae,Herb,Mint family,13.94232155,78.50763286,Annual herb,Forb
APA10,bgpnf,APA10bgpnf,Leucas zeylanica,No,24,Leucas zeylanica (L.) W.T.Aiton,Lamiaceae,Herb,Mint family,14.01931795,78.38124299,Annual herb,Forb
APA10,bgrnf,APA10bgrnf,Leucas zeylanica,No,41,Leucas zeylanica (L.) W.T.Aiton,Lamiaceae,Herb,Mint family,14.01957255,78.38249092,Annual herb,Forb
APA6,bgrnf,APA6bgrnf,Leucas zeylanica,No,25,Leucas zeylanica (L.) W.T.Aiton,Lamiaceae,Herb,Mint family,14.03027697,78.38398113,Annual herb,Forb
APA7,bgpnf,APA7bgpnf,Leucas zeylanica,No,13,Leucas zeylanica (L.) W.T.Aiton,Lamiaceae,Herb,Mint family,14.02114351,78.38002126,Annual herb,Forb
APA8,bgrnf,APA8bgrnf,Leucas zeylanica,No,12,Leucas zeylanica (L.) W.T.Aiton,Lamiaceae,Herb,Mint family,14.02132073,78.3810486,Annual herb,Forb
APC10,ab,APC10ab,Leucas zeylanica,No,5,Leucas zeylanica (L.) W.T.Aiton,Lamiaceae,Herb,Mint family,13.86199189,78.43342618,Annual herb,Forb
APC4,ab,APC4ab,Leucas zeylanica,No,120,Leucas zeylanica (L.) W.T.Aiton,Lamiaceae,Herb,Mint family,13.8421781,78.4288606,Annual herb,Forb
APA10,bgrnf,APA10bgrnf,Mitracarpus hirtus,Yes,43,Mitracarpus hirtus (L.) DC.,Rubiaceae,Herb,Coffee family,14.01957255,78.38249092,Annual herb,Forb
APA18,bgpnf,APA18bgpnf,Mitracarpus hirtus,Yes,32,Mitracarpus hirtus (L.) DC.,Rubiaceae,Herb,Coffee family,14.05877728,78.33773986,Annual herb,Forb
APA18,bgrnf,APA18bgrnf,Mitracarpus hirtus,Yes,5,Mitracarpus hirtus (L.) DC.,Rubiaceae,Herb,Coffee family,14.05540854,78.34276519,Annual herb,Forb
APA20,ab,APA20ab,Mitracarpus hirtus,Yes,14,Mitracarpus hirtus (L.) DC.,Rubiaceae,Herb,Coffee family,14.07351935,78.32029247,Annual herb,Forb
APA20,bgrnf,APA20bgrnf,Mitracarpus hirtus,Yes,60,Mitracarpus hirtus (L.) DC.,Rubiaceae,Herb,Coffee family,14.07855213,78.32909996,Annual herb,Forb
APA7,bgrnf,APA7bgrnf,Mitracarpus hirtus,Yes,230,Mitracarpus hirtus (L.) DC.,Rubiaceae,Herb,Coffee family,14.02257643,78.38102775,Annual herb,Forb
APC1,bgrnf,APC1bgrnf,Mitracarpus hirtus,Yes,8,Mitracarpus hirtus (L.) DC.,Rubiaceae,Herb,Coffee family,13.84873331,78.42895372,Annual herb,Forb
APC3,bgrnf,APC3bgrnf,Mitracarpus hirtus,Yes,93,Mitracarpus hirtus (L.) DC.,Rubiaceae,Herb,Coffee family,13.82903847,78.41240476,Annual herb,Forb
APC8,ab,APC8ab,Mitracarpus hirtus,Yes,212,Mitracarpus hirtus (L.) DC.,Rubiaceae,Herb,Coffee family,13.87320667,78.52529305,Annual herb,Forb
