State,District,Habitation,Year,Plot_no,Latitude,Longitude,Fire
Andhra Pradesh,Anantapur,Bayareddipalle,2018,9,14.06585667,78.3192,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2018,7,14.06612667,78.32170833,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2018,10,14.06622,78.32211,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2018,6,14.066285,78.32208667,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2019,4,14.06771,78.31779,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2019,5,14.065165,78.3222,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2019,8,14.065765,78.32074167,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2019,9,14.06585667,78.3192,Yes
Andhra Pradesh,Anantapur,Bayareddipalle,2019,6,14.066285,78.32208667,Yes
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2019,4,14.03841612,78.37856414,No
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2019,10,14.03854602,78.37735244,No
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2019,3,14.03911397,78.3793179,No
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2019,9,14.04003833,78.3772,Yes
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2019,1,14.04057358,78.37950408,No
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2019,8,14.04083,78.37708833,No
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2019,7,14.04101,78.377795,No
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2019,6,14.04103833,78.37857,No
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2018,4,14.03841612,78.37856414,Yes
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2018,10,14.03854602,78.37735244,Yes
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2018,9,14.04003833,78.3772,Yes
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2018,2,14.04013738,78.37920402,Yes
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2018,6,14.04103833,78.37857,Yes
